Ref;Location;lat;long;Region;Bioregion;Depth;Specie;Genus;Life-form;DBD;Mud %;CaCO3;OM;Corg
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.2712
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.2198
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.198
11;Alfacs bay;40.6;0.716667;Mediterranean Sea;Mediterranean;;Cymodocea nodosa;Cymodocea spp.;Opportinistic;;;31.7;;
11;Alfacs bay;40.6;0.716667;Mediterranean Sea;Mediterranean;;Cymodocea nodosa;Cymodocea spp.;Opportinistic;;;27.7;;
12;Tabarca_South;38.16168681;-0.477286389;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.74338;;;7.050587392;2.610234957
12;Portlligat_I;42.29304672;3.289290111;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.583666667;;;12.31064927;4.714259709
12;Culip;42.32267875;3.30960509;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.4421125;;;10.03867628;3.805470513
12;Medes_Islands;42.0449773;3.2205117;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.6116;;;9.016559612;3.396623845
12;Medes_Islands;42.0449773;3.2205117;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.7525;;;4.057463062;1.412985225
12;Ischia;40.69472509;13.90166838;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.5114;;;4.25840436;1.493361744
12;Tabarca_South;38.16168681;-0.477286389;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.5608;;;6.711181497;2.474472599
12;Tabarca_South;38.16168681;-0.477286389;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.696375;;;12.39871808;4.749487233
12;Tabarca_North;38.16168681;-0.477286389;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.413;;;13.19073673;5.066294693
12;El_Campello;38.41367515;-0.390186135;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.71225;;;4.255106443;1.492042577
12;El_Campello;38.41367515;-0.390186135;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.6038;;;9.571233442;3.618493377
12;El_Campello;38.41367515;-0.390186135;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.53354;;;7.865874264;2.936349706
12;Portlligat_I;42.29304672;3.289290111;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.576333333;;;11.51572389;4.396289556
12;Portlligat_I;42.29304672;3.289290111;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;0.548666667;;;9.47992334;3.581969336
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;0.6;0.03
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;0.5;0
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;0.8;0.11
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;0.4;0
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;0.4;0
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;1.3;0.31
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Ruppia maritima;Ruppia spp.;Colonising;;;;0.7;0.07
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;;;;1.1;0.23
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;1.2;0.27
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;1.8;0.51
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;1;0.19
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;0.8;0.11
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;1.2;0.27
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;2;0.59
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Zostera marina;Halodule spp.;Colonising;;;;2.4;0.75
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Ruppia maritima;Ruppia spp.;Colonising;;;;1.9;0.55
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;1.4;0.35
13;Beaufort_North_Carolina_USA;34.683333;-76.616667;NE America;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;;;;3.5;1.19
14;Goodwin_islands;37.207667;-76.391;NE America;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;1.81;;;1.13;0.09
14;Goodwin_islands;37.207667;-76.391;NE America;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;1.83;;;0.8;0.08
15;Green_Island_Great_Barrier_Reef;-16.75;145.966667;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;;;;0.59096016
16;East India;9.2422504;79.13232196;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;1.17;;;0.41
17;Venice lagoon;45.33584805;12.26882705;Mediterranean Sea;Mediterranean;;Zostera marina;Zostera spp.;Opportinistic;;;;;0.985
18;Europe_1;55.28900582;10.82256441;Atlantic Europe;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;;7;;;0.18
18;Europe_1;55.28900582;10.82256441;Atlantic Europe;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;;49;;;2.07
18;Europe_3;51.59879722;3.99612223;Atlantic Europe;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;;28;;;0.73
18;Europe_2;44.67649036;-1.113231122;Atlantic Europe;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;;13;;;0.3
18;Europe_2;44.67649036;-1.113231122;Atlantic Europe;Temperate North Atlantic;;Zostera noltii;Zostera spp.;Opportinistic;;18;;;0.32
18;Europe_2;44.67649036;-1.113231122;Atlantic Europe;Temperate North Atlantic;;Zostera noltii;Zostera spp.;Opportinistic;;65;;;1.83
19;Eastern_Grand_Bahama;26.62227416;-77.87792178;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;0.685;;;;1.25
19;Eastern_Grand_Bahama;26.62227416;-77.87792178;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;0.635;;;;0.95
19;Eastern_Grand_Bahama;26.62227416;-77.87792178;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;0.575;;;;1.15
20;Fanals_point;41.6892863;2.828075018;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;1.47
20;Fanals_point;41.6892863;2.828075018;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;1
20;Fanals_point;41.6892863;2.828075018;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.71
21;;55.12978779;9.954251584;Baltic Sea;Temperate North Atlantic;1;Zostera marina;Zostera spp.;Opportinistic;;;;0.39;0
21;;55.12978779;9.954251584;Baltic Sea;Temperate North Atlantic;4;Zostera marina;Zostera spp.;Opportinistic;;;;9.93;3.762
22;Ellie_Pt;-16.88599974;145.775715;E Australia;Tropical Indo-Pacific;;Zostera capricorni;Zostera spp.;Opportinistic;;;1.44;1.3;0.31
22;Lugger_Bay;-17.96570511;146.0967057;E Australia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;;1.85;2.05;0.61
22;Meunga_Creek;-18.23144209;146.0193192;E Australia;Tropical Indo-Pacific;;Halophila minor;Halophila spp.;Colonising;;;12.66;1.82;0.518
22;Horseshoe_Bay;-19.11357022;146.8486064;E Australia;Tropical Indo-Pacific;;Zostera capricorni;Zostera spp.;Opportinistic;;;14.4;2.14;0.646
22;Geoffrey_Bay;-19.15404851;146.8659091;E Australia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;;1.94;0.55;0.01
22;Bolger_Bay;-19.14626954;146.7949683;E Australia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;;75.97;2;0.59
22;Windy_Point;-19.22236021;146.8121577;E Australia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;;14.39;0.96;0.174
22;Windy_Point;-19.22236021;146.8121577;E Australia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;;4.45;0.51;0
23;;16.47393647;119.9851232;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;16.7;;5.105;1.832
23;Yaquina_Bay_Oregon;44.61781979;-124.0155478;NW America;Temperate North Pacific;;Zostera japonica;Zostera spp.;Opportinistic;;;;;1.43
23;Yaquina_Bay_Oregon;44.61781979;-124.0155478;NW America;Temperate North Pacific;;Zostera marina;Zostera spp.;Opportinistic;;;;;1.71
24;;39.14920956;2.930211207;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;96;;1.22
24;;39.14920956;2.930211207;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;98;;0.38
24;;39.14920956;2.930211207;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;96;;0.71
24;;39.14920956;2.930211207;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;93;;0.55
24;;39.14920956;2.930211207;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;94;;0.47
24;;39.14920956;2.930211207;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;88;;2.56
25;;39.14920956;2.930211207;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;0;;2;0.59
26;;-18.466667;146.2;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;27.83;0.4;3.7;1.27
26;;;;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;17.78;0.3;2.38;0.742
26;;;;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;26;0.27;2.7;0.87
26;;;;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;45.21;0.74;3.48;1.182
26;;;;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;68.33;0.68;8.5;3.19
26;;;;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;39.24;0.38;12.18;4.662
26;;;;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;38.1;2.59;6.56;2.414
26;;;;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;70.94;2.15;5.42;1.958
26;;;;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;60.41;2.26;0.85;0.13
26;;;;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;98.63;2.71;3.66;1.254
26;;;;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;43.76;2.76;2.5;0.79
26;;;;E Australia;Tropical Indo-Pacific;;mixed;mixed;;;34.42;2.71;2.52;0.798
27;;39.15;2.933333;Mediterranean Sea;Mediterranean;4;Posidonia oceanica;Posidonia spp.;Persistent;;;;;9.3
27;;;;Mediterranean Sea;Mediterranean;13;Posidonia oceanica;Posidonia spp.;Persistent;;;;;1
27;;;;Mediterranean Sea;Mediterranean;17;Posidonia oceanica;Posidonia spp.;Persistent;;;;;4.4
27;;;;Mediterranean Sea;Mediterranean;5;Posidonia oceanica;Posidonia spp.;Persistent;;;;;3.1
27;;;;Mediterranean Sea;Mediterranean;3;Cymodocea nodosa;Cymodocea spp.;Opportinistic;;;;;1.6
28;Baffin_Bay;27.256211;-97.544123;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;2.36
29;Thau ;43.39450423;3.60856295;Mediterranean Sea;Mediterranean;;Zostera marina;Zostera spp.;Opportinistic;;;;;0.69
29;Venice lagoon;45.33800437;12.28048027;Mediterranean Sea;Mediterranean;;Zostera marina;Zostera spp.;Opportinistic;;;;;0.97
30;Bahia_Almirante;9.26134013;-82.20336719;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;;;;4.2;1.47
30;Laguna_de_Chiriqui_Panama;9.036417227;-82.06128511;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;;;;2.8;0.91
30;Outer_Lagoon;9.224447086;-82.0599401;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;;;;1.9;0.55
31;;-25.98358862;32.95446738;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;0.02;;;
31;;;;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;0.09;;;
31;;;;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;0.05;;;
31;;;;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;0.17;;;
31;;;;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;0.05;;;
31;;;;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;0.06;;;
31;;-25.98358862;32.95446738;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;0.99;11.8;;
31;;;;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;0.75;13.5;;
31;;;;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;0.6;14.1;;
31;;;;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;0.6;12;;
31;;;;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;0.8;10.6;;
31;;;;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;0.92;13.4;;
32;;29.53422074;34.97482503;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;;0.163;4.882;1.45;0.1
32;;;;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;;0.49;8.248;1.824;0.165
32;;;;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;;0.523;9.763;1.549;0.159
32;;;;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;;0.673;3.03;1.221;0.142
32;;;;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;;1.683;8.585;2.298;0.17
32;;;;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;;0.96;4.882;1.818;0.144
32;;;;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;;1.807;3.788;1.876;0.126
33;Seungbong_Island;37.15;126.283333;E Pacific;Temperate North Pacific;;Zostera japonica;Zostera spp.;Opportinistic;;15;;;
33;Seungbong_Island;;;E Pacific;Temperate North Pacific;;Zostera japonica;Zostera spp.;Opportinistic;;10;;;
33;Seungbong_Island;;;E Pacific;Temperate North Pacific;;Zostera japonica;Zostera spp.;Opportinistic;;10;;;
34;Lake_Illawara;-34.533333;150.833333;E Australia;Temperate Southern Oceans;;Ruppia megacarpa;Ruppia spp.;Colonising;;2.3;;;
34;Lake_Illawara;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;;8.8;;;
35;Thailand;7.265141615;99.40509946;SE Asia;Tropical Indo-Pacific;;Enhalus acoroides;Enhalus spp.;Persistent;;;3.78;;0.37
35;Thailand;;;SE Asia;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;;1.22;;0.16
35;Thailand;;;SE Asia;Tropical Indo-Pacific;;Halophila ovalis;Halophila spp.;Colonising;;;0.91;;0.15
36;Santa_Rosa_Sound;30.40140713;-86.77732308;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;7;;;0.9
36;St_Joseph_Bay;29.7756704;-85.3341962;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;7;;;1.1
36;St_Joseph_Bay;29.7756704;-85.3341962;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;2;;;0.2
36;Ohio_Key;24.67217052;-81.24580468;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;3;;;0.5
36;Little_Duck_Key;24.68150897;-81.23227335;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;1;;;0.2
36;Santa_Rosa_Sound;30.40140713;-86.77732308;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;5;;;0.3
36;Santa_Rosa_Sound;30.40140713;-86.77732308;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;4;;;0.4
36;Santa_Rosa_Sound;30.40140713;-86.77732308;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;3;;;1.8
36;Santa_Rosa_Sound;30.40140713;-86.77732308;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;4;;;0.4
36;Santa_Rosa_Sound;30.40140713;-86.77732308;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;3;;;1
36;Little_Sabine_Bay;30.33354138;-87.15044035;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;9;;;12
36;Choctwhatchee_Bay;30.44123869;-86.34953169;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;14;;;0.2
36;Bonito_Bay;;;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;13;;;1
37;;38.33718128;-0.468593178;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;13.07;;;0.74
37;;36.77946005;15.28108974;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;4.83;;;1.92
37;;37.65486478;24.01767404;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;15.28;;;2.19
38;;39.91872599;8.498930215;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;42.3;33.6;11.7
38;;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;29.5;21.8;6.3
38;;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;26.7;16.3;4.3
38;;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;18.2;13.3;3.3
39;;53.48732835;6.936831942;Atlantic Europe;Temperate North Atlantic;intertidal;Zostera marina;Zostera spp.;Opportinistic;;20.1;;0.5;0
40;;-37.77456822;174.9073471;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;2;12;;2;0.59
40;;-37.64690994;176.1315623;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.5;7;;1.8;0.51
40;;-36.73801804;175.6255311;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;2.2;4;;1.5;0.39
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.4;39;;5.7;2.07
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.4;29;;4.5;1.59
